Countries,Regions,Currency,Official Language(s) Spoken,Popular Food,Population,Fast Facts
Algeria,North,Algerian dinar,Arabic,c,"42,008,054",
Angola,Central,Angolan kwanza,Portuguese,c,"30,774,205",
Benin,West,West African CFA franc,French,c,"11,485,674",
"Botswana	",South,Botswana pula,Setswana/English,c,"2,333,201",
"Niger	",West,a,French,c,"22,311,375","Agadez is the largest city in the country of Niger. Niger is home to one of the world’s largest protected reserves, the Air and Tenere Natural Reserves, which is the refuge for animals like addax, Cheetah, Oryx and the gazelle. It is also one of the hottest countries in the world and is famously nicknamed as ‘Frying Pan of the World’."
"Nigeria	",West,a,English,c,"195,875,237","There are over 250 ethnic groups that live throughout Nigeria. Nigeria is the most populous country in Africa, and it is the 17th most populous city in the world. About half of Nigerians are Muslim, while approximately 40% are Christian."
"Rwanda	",East,a,"Rwanda (Kinyarwanda, Bantu vernacular)/French/English",c,"12,501,156","Rwanda is largely a rural country with about 90% of the population involved in agricultural, agro-processing and mineral work. Rwanda is also known as the Land of a Thousand Hills because most of the country is covered by rolling, grassy hills. The Karisimbi Volcano (4,519 m high) in the Virunga Mountains, is the highest point in Rwanda."
"Sao Tome and Principe	",Central,a,Portuguese,c,"208,818","Both the islands are part of an extinct volcanic range. Sao Tome and Principe is the second-smallest African country when it comes to population. The island of Sao Tome, which has the capital of the same name, consists of 90% of the total country’s surface area, and is a picturesque town consisting of colonial Portuguese architectural tradition and many attractive parks."
"Senegal	",West,a,French,c,"16,294,270","The capital of Senegal is the port city of Dakar. Its history has shaped it to be one of the most liberal and cosmopolitan cities of Africa. Much of Senegal is covered in rolling, sandy plains courtesy of the western Sahel – a transition zone between the Sahara desert and Sudanian Savannas. In contemporary times, Senegal is very close to France. In fact, the very flag of Senegal has adopted the French Tricolore style. "
"Seychelles	",East,a,English/French,c,"95,235","Some of the rarest species of birds can be found in Seychelles, including the bare-legged Scops Owl or Syer. The capital of Seychelles, Victoria, is the smallest capital in the world. You can explore the entire city on foot in less than a day. Seychelles was the land of pirates, in particular Anse Forbans (Pirate’s Cove) on Mahé Island and Côte d’Or on Praslin."
"Sierra Leone	",West,a,English,c,"7,719,729","One of the top 10 diamond producing nations in the world, it also earns a lot of foreign currency from minerals. With coastal rainfall reaching 495 cm. (195 inches) annually,Sierra Leone is one of Western Africa’s wettest places. The two largest and most dominant ethnic groups of Sierra Leone are teh Menda and Temne."
"Somalia	",East,a,Somali,c,"15,181,925","Somalia Is situated in the Horn of Africa on the easternmost edge of Africa with the Indian Ocean to the east, Ethiopia to the west, Djibouti to the northwest, Yemen across the Gulf of Aden to the north and Kenya to the southwest. It is flat in the south, with mountains in the north reaching more than 2,000 meters (6,500 feet). Somalia is the only country in the world that does not possess a central form of government."
"South Africa	",South,a,Afrikaans/ English/isiNdebele/ Pedi/ Sesotho (Sotho)/ siSwati (Swazi)/ Xitsonga (Tsonga)/Tswana/ Tshivenda (Venda)/isiXhosa/ isiZulu,c,"57,398,421","South Africa has deserts, wetlands, grasslands, bush, subtropical forests, mountains and escarpments. South Africa is extremely rich in mining and minerals and considered the world’s leader with nearly 90% of all the platinum metals on earth and around 41% of all the world’s Gold. The oldest remains of modern humans were found in South Africa and are well over 160,000 years old."
"South Sudan	",North,a,Arabic,c,"12,919,053","Juba is the capital of South Sudan. It is located on the White Nile and is the seat and metropolis of Juba County. It is also the capital of Central Equatoria. The highest point in South Sudan is Mt Kinyeti. The Imatong mountain range lies along the border between South Sudan and Uganda, and Mt Kinyeti is its highest peak at just over 3,000 metres (10,000 ft)."
"Sudan	",North,a,Arabic,c,"41,511,526","Sudan was once the largest and the most geographically diverse state in South Africa. However, it was split into two countries in July 2011. Now, it is the third largest country in Africa.  The White Nile and the Blue Nile are the two tributaries of the Nile. These two tributaries merge at Khartoum—the capital of Sudan—becoming the Nile River proper before flowing into Egypt."
"Swaziland	",South,a,English/siSwati,c,"1,391,385","Swaziland is one of the smallest countries in Africa. It is no more than 200 kilometres (120 mi) north to south and 130 kilometres (81 mi) east to west. Sugar, soft drink concentrates, citrus products and wood pulp are the major exports, mainly to South Africa from which the Kingdom of Swaziland receives almost (90 percent) of its imports. Tourism is one of the Kingdom of Swaziland’s biggest industries."
"Tanzania	",East,a,Kiswahili (Swahili)/Kiunguju/English ,c,"59,091,392","Over 120 languages are spoken in Tanzania. Most of these are Bantu languages, a category of over 535 languages and dialects that are spoken throughout Africa. The world’s earliest human skull was found in the Olduvai Gorge in Tanzania. Tanzania has the largest concentration of wildlife animals per square kilometer, with more than 4 million wild animals and representatives of 430 species and subspecies."
"Togo	",West,a,French,c,"7,990,926","Togo is a tropical, sub-Saharan nation, highly dependent on agriculture, with a climate that provides good growing seasons. Fazao Mafakassa National Park is the largest National Park in Togo. It is situated between the Kara Region and Centrale Region in semi-mountainous wetland. Lake Togo is the largest part of a lagoon in Togo, separated from the head by a narrow coastal strip. It is shallow and a popular location for water sports."
"Tunisia	",North,Tunisian Dinar,Arabic,Couscous,"11,659,174","Tunisia has a warm, dry climate and many beautiful beaches. 99 percent of the people who live in Tunisia are Muslim. Tunis is Tunisia’s capital and it’s also the city that gave the country its name. Tunis is situated in the northeast part Tunisia."
"Uganda	",East,a,English,c,"44,270,563","The country has abundant wildlife, it is home to the endangered mountain gorillas and has nearly 1,061 different bird species. In Uganda, motorcycles are used as taxis to ferry people from one place to another. Agriculture is an important part of the country’s economy as it employs the majority of the Ugandans (almost 1/3rd)."
"Zambia	",East,a,English,c,"17,609,178","Zambia is drained by two major river basins: the Zambezi/Kafue basin in the centre, west and south covering about three-quarters of the country; and the Congo basin in the north covering about one-quarter of the country. The country is mostly a plateau that rises to 8,000 ft (2,434 m) in the east. Lake Kariba is so huge that in certain parts of it, unknowing visitors think they are looking at the ocean."
"Zimbabwe	",East,a,English,c,"16,913,261","Zimbabwe is a landlocked plateau country. Manufacturing, mining, and farming constitute the backbone of the Zimbabwean economy. The name of the country was derived from the fortified trading hub, Great Zimbabwe, which was built in medieval times and was used by the people of the ‘Shona’ tribe. The people of this tribe constitute about 70% of the country’s current population."
